Depart Date,Origin,Destination,Gate,Return Date,Value,Duration,Distance
2024-10-03,DXB,MOW,Kupi.com,2024-10-08,253,680,3709
2024-10-01,DXB,MOW,Kupi.com,2024-10-08,253,680,3709
2024-10-04,DXB,MOW,Kupi.com,2024-10-08,254,670,3709
2024-10-02,DXB,MOW,S7 Airlines,2024-10-08,258,680,3672
2024-10-04,DXB,MOW,MEGO.travel,2024-10-10,267,690,3709
2024-10-04,DXB,MOW,Kupi.com,2024-10-09,267,670,3709
2024-10-03,DXB,MOW,Kupi.com,2024-10-09,267,680,3709
2025-01-16,DXB,MOW,Kupi.com,2025-01-21,267,680,3709
2024-10-07,DXB,MOW,Kupi.com,2024-10-14,268,690,3709
2024-09-18,DXB,MOW,MEGO.travel,2024-10-03,270,680,3709
2024-10-01,DXB,MOW,Kupi.com,2024-10-10,273,680,3709
2024-10-01,DXB,MOW,Kupi.com,2024-10-09,273,680,3709
2024-12-28,DXB,MOW,MEGO.travel,2025-01-19,275,680,3709
2025-01-21,DXB,MOW,MEGO.travel,2025-02-06,275,680,3709
2024-10-10,DXB,MOW,Aviakassa,2024-10-23,276,1980,3680
2024-10-24,DXB,MOW,Aviakassa,2024-10-28,279,2235,3680
2024-10-09,DXB,MOW,Aviakassa,2024-10-16,279,1305,3642
2024-10-09,DXB,MOW,Aviakassa,2024-10-28,279,2235,3680
2025-01-21,DXB,MOW,Kupi.com,2025-01-30,280,680,3709
2024-12-27,DXB,MOW,Kupi.com,2025-01-11,280,680,3709
2024-10-21,DXB,MOW,OneTwoTrip,2024-10-28,280,2250,3642
2024-10-17,DXB,MOW,Aviakassa,2024-10-19,280,2000,3680
2024-12-26,DXB,MOW,MEGO.travel,2025-01-13,280,680,3709
2024-12-25,DXB,MOW,MEGO.travel,2025-01-12,280,680,3709
2024-09-27,DXB,MOW,MEGO.travel,2024-10-08,281,680,3709
2024-12-31,DXB,MOW,MEGO.travel,2025-01-14,281,680,3709
2024-12-26,DXB,MOW,MEGO.travel,2025-01-15,281,680,3709
2025-01-27,DXB,MOW,MEGO.travel,2025-02-02,281,685,3709
2025-01-21,DXB,MOW,MEGO.travel,2025-01-28,281,685,3709
2024-12-27,DXB,MOW,MEGO.travel,2025-01-15,281,680,3709
2024-12-30,DXB,MOW,MEGO.travel,2025-01-19,281,685,3709
2024-09-23,DXB,MOW,MEGO.travel,2024-10-08,281,680,3709
2024-10-06,DXB,MOW,S7 Airlines,2024-10-17,281,680,3672
2024-10-09,DXB,MOW,S7 Airlines,2024-10-15,281,680,3672
2024-12-26,DXB,MOW,MEGO.travel,2025-01-18,281,680,3709
2024-12-31,DXB,MOW,MEGO.travel,2025-01-13,282,680,3709
2024-12-30,DXB,MOW,Kupi.com,2025-01-14,282,680,3709
2024-12-25,DXB,MOW,Kupi.com,2025-01-13,282,680,3709
2024-10-09,DXB,MOW,S7 Airlines,2024-10-17,282,680,3672
2024-12-25,DXB,MOW,Kupi.com,2025-01-16,282,680,3709
2024-10-06,DXB,MOW,S7 Airlines,2024-10-15,283,680,3672
2024-10-30,DXB,MOW,OneTwoTrip,2024-10-30,283,1255,3680
2024-10-10,DXB,MOW,OneTwoTrip,2024-10-17,283,1285,3642
2024-10-09,DXB,MOW,S7 Airlines,2024-10-12,284,680,3672
2024-10-02,DXB,MOW,S7 Airlines,2024-10-17,284,680,3672
2024-10-06,DXB,MOW,S7 Airlines,2024-10-10,284,680,3672
2024-10-07,DXB,MOW,S7 Airlines,2024-10-10,284,680,3642
2024-10-08,DXB,MOW,MEGO.travel,2024-10-15,284,680,3709
2024-10-09,DXB,MOW,Aviakassa,2024-10-13,284,2000,3680
2024-10-10,DXB,MOW,OneTwoTrip,2024-10-16,284,1305,3642
2024-10-04,DXB,MOW,Kupi.com,2024-10-16,284,670,3709
2024-12-27,DXB,MOW,Kupi.com,2025-01-12,284,680,3709
2024-10-04,DXB,MOW,Kupi.com,2024-10-07,285,670,3709
2024-10-05,DXB,MOW,Kupi.com,2024-10-07,285,670,3709
2024-10-05,DXB,MOW,Kupi.com,2024-10-06,285,670,3709
2024-10-03,DXB,MOW,Kupi.com,2024-10-14,285,690,3709
2024-09-20,DXB,MOW,Kupi.com,2024-10-03,285,680,3709
2025-01-24,DXB,MOW,MEGO.travel,2025-02-02,285,680,3709
2024-10-07,DXB,MOW,OneTwoTrip,2024-10-21,285,1305,3642
2024-12-29,DXB,MOW,MEGO.travel,2025-01-12,286,680,3709
2024-12-28,DXB,MOW,MEGO.travel,2025-01-12,286,685,3709
2024-12-30,DXB,MOW,MEGO.travel,2025-01-15,286,680,3709
2024-10-06,DXB,MOW,S7 Airlines,2024-10-12,286,680,3672
2024-10-04,DXB,MOW,S7 Airlines,2024-10-12,286,680,3672
2024-10-07,DXB,MOW,S7 Airlines,2024-10-12,286,680,3642
2024-10-02,DXB,MOW,S7 Airlines,2024-10-15,286,680,3672
2024-10-02,DXB,MOW,S7 Airlines,2024-10-10,286,680,3672
2024-10-03,DXB,MOW,Kupi.com,2024-10-06,286,690,3709
2025-01-21,DXB,MOW,Kupi.com,2025-01-31,287,685,3709
2024-12-30,DXB,MOW,Kupi.com,2025-01-12,287,680,3709
2025-01-30,DXB,MOW,Kupi.com,2025-02-06,287,680,3709
2024-10-21,DXB,MOW,Aviakassa,2024-11-09,287,1385,3642
2025-01-30,DXB,MOW,MEGO.travel,2025-02-04,288,680,3709
2024-12-29,DXB,MOW,MEGO.travel,2025-01-23,288,685,3709
2024-10-07,DXB,MOW,S7 Airlines,2024-10-17,288,680,3642
2025-01-27,DXB,MOW,MEGO.travel,2025-02-03,289,680,3709
2025-01-23,DXB,MOW,MEGO.travel,2025-01-26,290,680,3709
2025-01-30,DXB,MOW,MEGO.travel,2025-02-01,290,680,3709
2024-10-08,DXB,MOW,MEGO.travel,2024-10-22,290,655,3709
2024-12-23,DXB,MOW,S7 Airlines,2025-01-15,291,690,3672
2025-01-21,DXB,MOW,Kupi.com,2025-02-11,291,680,3709
2024-12-20,DXB,MOW,MEGO.travel,2025-01-12,291,680,3709
2024-12-22,DXB,MOW,Kupi.com,2025-01-14,291,680,3709
2024-10-04,DXB,MOW,S7 Airlines,2024-10-15,292,680,3672
2024-10-07,DXB,MOW,Kupi.com,2024-10-09,292,670,3642
2024-10-08,DXB,MOW,City.Travel,2024-10-13,293,2000,3680
2024-12-22,DXB,MOW,Kupi.com,2025-01-19,293,680,3709
2024-12-18,DXB,MOW,MEGO.travel,2025-01-11,294,680,3709
2024-09-18,DXB,MOW,Kupi.com,2024-10-01,294,665,3709
2025-01-28,DXB,MOW,MEGO.travel,2025-01-31,294,680,3709
2024-10-02,DXB,MOW,MEGO.travel,2024-10-03,294,680,3709
2025-02-04,DXB,MOW,S7 Airlines,2025-02-11,295,675,3642
2025-01-23,DXB,MOW,MEGO.travel,2025-01-30,295,680,3709
2025-01-31,DXB,MOW,Kupi.com,2025-02-06,295,685,3709
2024-10-20,DXB,MOW,Aviakassa,2024-10-23,295,2810,3642
2024-09-30,DXB,MOW,MEGO.travel,2024-10-08,295,680,3709
2024-12-27,DXB,MOW,Kupi.com,2025-01-09,296,680,3709
2024-12-18,DXB,MOW,Kupi.com,2025-01-15,296,680,3709
2025-01-17,DXB,MOW,Kupi.com,2025-02-04,297,680,3709
2025-01-17,DXB,MOW,Kupi.com,2025-02-06,297,680,3709
